id,created_at,subject,concept,total_questions,correct_count,wrong_count,details
301,2026-06-27 04:20:34.212999,SE,"2-a. 프로그래밍언어 및 환경(코딩원리, 코딩오류, 코딩 스타일, uml과 코딩)",1,1,0,"{""q_id"": ""2016_45"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
302,2026-06-27 04:22:41.478758,SE,2-e. 테스팅 방법 및 도구,1,1,0,"{""q_id"": ""2025_46"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
303,2026-06-27 04:25:11.321672,SE,"4-b. CBD, Agile, 데브 옵스, aop 등",1,0,1,"{""q_id"": ""2019_37"", ""user_choice"": [2], ""correct_answer"": [4], ""is_correct"": false}"
304,2026-06-27 04:25:47.329665,SE,"4-i. 웹서비스(SOAP, REST)",1,1,0,"{""q_id"": ""2019_48"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
305,2026-06-27 04:26:12.911091,SE,1-b. 객체지향 개념,1,0,1,"{""q_id"": ""2015_29"", ""user_choice"": [1], ""correct_answer"": [2], ""is_correct"": false}"
306,2026-06-27 04:27:28.167049,SE,2-e. 테스팅 방법 및 도구,1,0,1,"{""q_id"": ""2025_28"", ""user_choice"": [1], ""correct_answer"": [3], ""is_correct"": false}"
307,2026-06-27 04:32:01.504291,SE,1-c. 설계원리,1,1,0,"{""q_id"": ""2015_40"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
308,2026-06-27 04:35:05.995804,SE,1-d. UML/SysML 모델링,1,0,1,"{""q_id"": ""2019_31"", ""user_choice"": [2], ""correct_answer"": [1], ""is_correct"": false}"
309,2026-06-27 04:39:57.201302,SE,"3-c. ITSM, ITIL(SLA, SLM 등)",1,0,1,"{""q_id"": ""2019_43"", ""user_choice"": [4], ""correct_answer"": [2], ""is_correct"": false}"
310,2026-06-27 04:44:28.565727,SE,"4-c. 프로세스 모델 : 폭포수, 프로타이핑, 점진적, 진화적, 나선형, v 모델, 스크럼 등",1,1,0,"{""q_id"": ""2015_26"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
